2025-09-17 20:35:30.957 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 74119541 章节稍后补爬
2025-09-17 20:35:35.932 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-03-05', 'createDate': '2021-12-24', 'anchorUid': 35310389, 'playCount': 211189679, 'albumTitle': '绍宋|起点穿越历史霸榜作品| VIP免费多人有声', 'anchorName': '伍壹先生', 'fansCount': 2306273, 'commentCount': 0, 'trackCount': 1088, 'albumId': 55815623}
2025-09-17 20:35:37.374 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 55815623 章节稍后补爬
2025-09-17 20:35:42.392 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-28', 'createDate': '2023-02-28', 'anchorUid': 70741939, 'playCount': 337383946, 'albumTitle': '唐砖 | 孑与2 | 同名电视剧原著 | 声之优 | 爆笑穿越历史 | 多人有声剧', 'anchorName': '雷哥声之优', 'fansCount': 4145266, 'commentCount': 0, 'trackCount': 1838, 'albumId': 74643892}
2025-09-17 20:35:43.843 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 74643892 章节稍后补爬
2025-09-17 20:35:48.959 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-15', 'createDate': '2023-05-24', 'anchorUid': 1266964, 'playCount': 1089742394, 'albumTitle': '大乾憨婿丨历史爆笑爽文丨多人有声剧丨紫襟监制', 'anchorName': '有声的紫襟', 'fansCount': 27678498, 'commentCount': 0, 'trackCount': 2421, 'albumId': 76176854}
2025-09-17 20:35:50.388 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 76176854 章节稍后补爬
2025-09-17 20:35:55.333 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-24', 'createDate': '2022-01-24', 'anchorUid': 10778196, 'playCount': 1174614645, 'albumTitle': '偷香高手丨头陀渊工作室丨搞笑多人有声剧', 'anchorName': '头陀渊讲故事', 'fansCount': 15637101, 'commentCount': 0, 'trackCount': 2989, 'albumId': 56603093}
2025-09-17 20:35:56.868 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 56603093 章节稍后补爬
2025-09-17 20:36:01.903 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-09', 'createDate': '2015-12-26', 'anchorUid': 12648317, 'playCount': 1543683483, 'albumTitle': '赘婿丨郭麒麟&宋轶主演影视原著丨多人精品有声剧丨VIP免费', 'anchorName': '雅居讲故事', 'fansCount': 3506157, 'commentCount': 0, 'trackCount': 1548, 'albumId': 3416829}
2025-09-17 20:36:03.339 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 3416829 章节稍后补爬
2025-09-17 20:36:08.655 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2025-05-22', 'anchorUid': 2342717, 'playCount': 34276949, 'albumTitle': '天下长宁丨大斌演播 知白原著丨不让江山后传丨群像权谋&VIP免费精品多人剧', 'anchorName': '大斌', 'fansCount': 9964910, 'commentCount': 0, 'trackCount': 967, 'albumId': 93130187}
2025-09-17 20:36:10.091 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 93130187 章节稍后补爬
2025-09-17 20:36:15.226 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2024-05-27', 'anchorUid': 40084802, 'playCount': 291390798, 'albumTitle': '北宋穿越指南|种田争霸&穿越搞笑|安燃领衔历史VIP免费穿越小说|多人有声剧', 'anchorName': '安燃', 'fansCount': 3140508, 'commentCount': 0, 'trackCount': 2196, 'albumId': 81974282}
2025-09-17 20:36:16.677 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 81974282 章节稍后补爬
2025-09-17 20:36:21.877 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-16', 'createDate': '2024-11-26', 'anchorUid': 44332883, 'playCount': 95316240, 'albumTitle': '时空电商:1949 |万历大帝| 这盛世如您所愿！', 'anchorName': '万历大帝', 'fansCount': 843682, 'commentCount': 0, 'trackCount': 3588, 'albumId': 84642702}
2025-09-17 20:36:23.301 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 84642702 章节稍后补爬
2025-09-17 20:36:28.283 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2023-12-18', 'anchorUid': 47393259, 'playCount': 200038686, 'albumTitle': '大明烟火 | 历史架空|穿越重生|爆笑爽文 | 多人有声剧', 'anchorName': '主播逸凡', 'fansCount': 570627, 'commentCount': 0, 'trackCount': 2935, 'albumId': 79672126}
2025-09-17 20:36:29.756 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 79672126 章节稍后补爬
2025-09-17 20:36:34.784 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-02-13', 'createDate': '2023-12-26', 'anchorUid': 1266964, 'playCount': 328188475, 'albumTitle': '武夫|有声的紫襟团队演播|刀锋少年：斩妖之旅', 'anchorName': '有声的紫襟', 'fansCount': 27678499, 'commentCount': 0, 'trackCount': 2082, 'albumId': 79786388}
2025-09-17 20:36:36.243 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 79786388 章节稍后补爬
2025-09-17 20:36:41.612 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-04', 'createDate': '2024-03-13', 'anchorUid': 2342717, 'playCount': 153040547, 'albumTitle': '庆余年 | 爆更连载爽听 | 大斌头陀渊牛大宝等喜马主播组团演播', 'anchorName': '大斌', 'fansCount': 9964912, 'commentCount': 0, 'trackCount': 1873, 'albumId': 80894226}
2025-09-17 20:36:43.095 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 80894226 章节稍后补爬
2025-09-17 20:36:48.132 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-09-17', 'createDate': '2025-06-05', 'anchorUid': 139625401, 'playCount': 27624042, 'albumTitle': '我在大明当老六 | 大明第一人 | 穿越明朝历史VIP免费有声小说', 'anchorName': '燃声剧场', 'fansCount': 26100, 'commentCount': 0, 'trackCount': 790, 'albumId': 93598803}
2025-09-17 20:36:49.632 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 93598803 章节稍后补爬
2025-09-17 20:36:54.607 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-05-05', 'createDate': '2023-07-06', 'anchorUid': 70741939, 'playCount': 130179704, 'albumTitle': '极品家丁 | 禹岩 | 同名电视剧原著 | 声之优 | 爆笑穿越历史 | 多人有声剧', 'anchorName': '雷哥声之优', 'fansCount': 4145267, 'commentCount': 0, 'trackCount': 1333, 'albumId': 76866644}
2025-09-17 20:36:56.073 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 76866644 章节稍后补爬
2025-09-17 20:37:01.379 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-27', 'createDate': '2021-09-06', 'anchorUid': 70741939, 'playCount': 240455391, 'albumTitle': '赘婿|愤怒的香蕉|凌振赫、杜炎喆领衔有声剧|声之优|穿越历史', 'anchorName': '雷哥声之优', 'fansCount': 4145267, 'commentCount': 0, 'trackCount': 1866, 'albumId': 52810848}
2025-09-17 20:37:02.860 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 52810848 章节稍后补爬
2025-09-17 20:37:07.962 | INFO     | __main__:<module>:263 - 小说信息{'updateDate': '2025-08-13', 'createDate': '2024-09-27', 'anchorUid': 10778196, 'playCount': 131070348, 'albumTitle': '乱世书丨头陀渊工作室丨历史穿越丨轻松搞笑丨诙谐幽默丨热血爽文丨VIP免费多人剧', 'anchorName': '头陀渊讲故事', 'fansCount': 15637102, 'commentCount': 0, 'trackCount': 1620, 'albumId': 83763378}
2025-09-17 20:37:09.456 | WARNING  | __main__:<module>:278 - 滑块出现，专辑 83763378 章节稍后补爬
