2025-12-04 13:27:10.992 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:10.992 | INFO     | __main__:main:197 - --- 开始处理 16/3228: 上海莘导企业管理有限公司 ---
2025-12-04 13:27:13.426 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：欧新华
2025-12-04 13:27:13.427 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:13.427 | INFO     | __main__:main:197 - --- 开始处理 17/3228: 上海萃慧企业管理服务中心(有限合伙) ---
2025-12-04 13:27:15.796 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：欧新华
2025-12-04 13:27:15.797 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:15.797 | INFO     | __main__:main:197 - --- 开始处理 18/3228: 中信建投投资有限公司 ---
2025-12-04 13:27:19.023 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：李旭东
2025-12-04 13:27:19.024 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:19.025 | INFO     | __main__:main:197 - --- 开始处理 19/3228: 深圳南山架桥卓越智能装备投资合伙企业(有限合伙) ---
2025-12-04 13:27:23.120 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：深圳市架桥富凯私募创业投资基金管理有限公司 (长度: 21)
2025-12-04 13:27:26.566 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>] 成功找到人名法人：徐波
2025-12-04 13:27:26.567 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:26.568 | INFO     | __main__:main:197 - --- 开始处理 20/3228: 深圳市前海鹏晨创智投资管理企业(有限合伙) ---
2025-12-04 13:27:28.803 | INFO     | __main__:query_legal_person_with_path:143 - [>>>] 找到法人（仍是公司）：深圳市前海鹏晨德润投资合伙企业（有限合伙） (长度: 21)
2025-12-04 13:27:31.713 | INFO     | __main__:query_legal_person_with_path:143 - [>>>>>>] 找到法人（仍是公司）：深圳市前海鹏晨投资管理有限公司 (长度: 15)
2025-12-04 13:27:34.226 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>>>>>>>] 成功找到人名法人：董玮
2025-12-04 13:27:34.228 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:34.228 | INFO     | __main__:main:197 - --- 开始处理 21/3228: 兴证证券资管-兴业银行-兴证资管鑫众汇成真空1号员工战略配售集合资产管理计划 ---
2025-12-04 13:27:39.077 | SUCCESS  | __main__:query_legal_person_with_path:140 - [>>>] 成功找到人名法人：陈怀宇
2025-12-04 13:27:39.078 | INFO     | __main__:append_results_to_csv:85 - 💾 结果已追加写入 tianyancha_results.csv
2025-12-04 13:27:39.079 | INFO     | __main__:main:197 - --- 开始处理 22/3228: 西藏佳得加企业管理有限公司 ---
