公司,路径1,路径2,路径3,最终实际控制人
中国互联网投资基金(有限合伙),中国互联网投资基金(有限合伙),中国互联网投资基金管理有限公司,,吴海
芜湖信湦投资管理合伙企业(有限合伙),芜湖信湦投资管理合伙企业(有限合伙),信风投资管理有限公司,,展江
武汉合旭控股有限公司,武汉合旭控股有限公司,,,朱长明
启航聚力创新(湖北)股权投资管理合伙企业(有限合伙),启航聚力创新(湖北)股权投资管理合伙企业(有限合伙),湖北育新启航私募基金管理有限公司,,杨惊
武汉华工明德先进制造创业投资合伙企业(有限合伙),武汉华工明德先进制造创业投资合伙企业(有限合伙),武汉华工明德投资管理有限公司,,王中
江苏尚昆生物设备有限公司,江苏尚昆生物设备有限公司,,,严荣飞
扬中市通泰投资管理合伙企业(有限合伙),扬中市通泰投资管理合伙企业(有限合伙),,,严荣飞
苏州聚信源企业管理有限公司,苏州聚信源企业管理有限公司,,,肖锋
苏州宇智伴企业管理合伙企业(有限合伙),苏州宇智伴企业管理合伙企业(有限合伙),,,肖锋
北京和美嘉和投资管理中心(有限合伙),北京和美嘉和投资管理中心(有限合伙),,,夏军
中信建投资本管理有限公司-浙江浙创好雨新兴产业股权投资合伙企业(有限合伙),中信建投资本管理有限公司-浙江浙创好雨新兴产业股权投资合伙企业(有限合伙),中信建投资本管理有限公司,,李铁生
深圳市华拓私募股权投资基金管理有限公司-深圳市华拓至远叁号投资企业(有限合伙),深圳市华拓私募股权投资基金管理有限公司-深圳市华拓至远叁号投资企业(有限合伙),,,蔡丹群
浙江梦天控股有限公司,浙江梦天控股有限公司,,,余静渊
嘉兴梦家投资管理合伙企业(有限合伙),嘉兴梦家投资管理合伙企业(有限合伙),,,余静渊
嘉兴梦悦投资管理合伙企业(有限合伙),嘉兴梦悦投资管理合伙企业(有限合伙),,,余静渊
北京金隅集团股份有限公司,北京金隅集团股份有限公司,,,姜英武
迪阿投资(珠海)有限公司,迪阿投资(珠海)有限公司,,,张国涛
共青城温迪贰号投资管理合伙企业(有限合伙),共青城温迪贰号投资管理合伙企业(有限合伙),深圳前海温迪管理咨询有限公司,,张国涛
共青城温迪壹号投资管理合伙企业(有限合伙),共青城温迪壹号投资管理合伙企业(有限合伙),深圳前海温迪管理咨询有限公司,,张国涛
共青城温迪叁号投资管理合伙企业(有限合伙),共青城温迪叁号投资管理合伙企业(有限合伙),深圳前海温迪管理咨询有限公司,,张国涛
江苏国泰国际集团股份有限公司,江苏国泰国际集团股份有限公司,,,张子燕
张家港市国泰投资有限公司,张家港市国泰投资有限公司,,,张子燕
上海全裕智合管理咨询事务所(有限合伙),上海全裕智合管理咨询事务所(有限合伙),,,王继红
如皋万达企业管理合伙企业(有限合伙),如皋万达企业管理合伙企业(有限合伙),,,徐群生
如皋万力科创发展合伙企业(有限合伙),如皋万力科创发展合伙企业(有限合伙),,,徐飞
海通创新证券投资有限公司,海通创新证券投资有限公司,,,李保国
杭州跃祥企业管理合伙企业(有限合伙),杭州跃祥企业管理合伙企业(有限合伙),,,邵春能
杭州百君投资管理合伙企业(有限合伙),杭州百君投资管理合伙企业(有限合伙),,,邵春能
杭州福钰投资管理合伙企业(有限合伙),杭州福钰投资管理合伙企业(有限合伙),,,邵春能
"Strait Co,Ltd.","Strait Co,Ltd.",,,杨清金
北京厚生投资管理中心(有限合伙)-珠海厚中股权投资中心(有限合伙),北京厚生投资管理中心(有限合伙)-珠海厚中股权投资中心(有限合伙),,,杨清金
国泰君安证裕投资有限公司,国泰君安证裕投资有限公司,,,徐岚
东莞慕泰实业投资合伙企业(有限合伙),东莞慕泰实业投资合伙企业(有限合伙),,,王炳坤
武汉励元齐心投资管理合伙企业(有限合伙),武汉励元齐心投资管理合伙企业(有限合伙),,,朱敦禹
武汉鼎立恒丰企业管理合伙企业(有限合伙),武汉鼎立恒丰企业管理合伙企业(有限合伙),,,朱敦尧
深圳市凯鑫投资有限公司,深圳市凯鑫投资有限公司,,,韩留才
周口市定邦管理咨询合伙企业(有限合伙),周口市定邦管理咨询合伙企业(有限合伙),,,柳中义
南京华如志远创业投资合伙企业(有限合伙),南京华如志远创业投资合伙企业(有限合伙),,,李杰
北京华如筑梦管理咨询中心(有限合伙),北京华如筑梦管理咨询中心(有限合伙),,,韩超
北京华如扬帆管理咨询中心(有限合伙),北京华如扬帆管理咨询中心(有限合伙),,,李杰
上海勇达圣商务咨询有限公司,上海勇达圣商务咨询有限公司,,,况志勇
荆门市宁康企业管理中心(有限合伙),荆门市宁康企业管理中心(有限合伙),,,朱晓兵
荆门市倍康企业管理中心(有限合伙),荆门市倍康企业管理中心(有限合伙),,,黄正华
中国铁建股份有限公司,中国铁建股份有限公司,,,戴和根
中国土木工程集团有限公司,中国土木工程集团有限公司,,,刘为民
中国中金财富证券有限公司,中国中金财富证券有限公司,,,王建力
青岛艾特诺经济信息咨询有限公司,青岛艾特诺经济信息咨询有限公司,,,陶峰
长葛市宇龙实业股份有限公司,长葛市宇龙实业股份有限公司,,,岳朝仁
深圳市嘉仑投资发展有限公司,深圳市嘉仑投资发展有限公司,,,刘俊锋
共青城正祥投资管理合伙企业(有限合伙),共青城正祥投资管理合伙企业(有限合伙),,,吴新艳
赣州泽祥睿宝投资管理合伙企业(有限合伙),赣州泽祥睿宝投资管理合伙企业(有限合伙),,,吴新艳
共青城家安睿投资管理合伙企业(有限合伙),共青城家安睿投资管理合伙企业(有限合伙),,,吴新艳
共青城龙欣投资管理合伙企业(有限合伙),共青城龙欣投资管理合伙企业(有限合伙),,,吴秀荣
北京天童芯源科技有限公司,北京天童芯源科技有限公司,,,晋红
北京天童芯源投资管理中心(有限合伙),北京天童芯源投资管理中心(有限合伙),北京天童芯源科技有限公司,,晋红
北京天童芯正科技发展中心(有限合伙),北京天童芯正科技发展中心(有限合伙),北京天童芯源科技有限公司,,晋红
北京天童芯国科技发展中心(有限合伙),北京天童芯国科技发展中心(有限合伙),北京天童芯源科技有限公司,,晋红
林芝鼎孚创业投资管理有限公司-宁波中科百孚创业投资基金合伙企业(有限合伙),林芝鼎孚创业投资管理有限公司-宁波中科百孚创业投资基金合伙企业(有限合伙),,,胡伟武
上海鼎晖百孚投资管理有限公司-上海鼎晖华蕴创业投资中心(有限合伙),上海鼎晖百孚投资管理有限公司-上海鼎晖华蕴创业投资中心(有限合伙),上海鼎晖孚舜投资合伙企业（有限合伙）,嘉兴鼎晖百孚企业管理有限公司,赵怀英
